all_iat_max,all_iat_mean,all_iat_min,all_iat_std,all_iat_sum,all_len_max,all_len_mean,all_len_min,all_len_std,all_len_sum,bwd_iat_max,bwd_iat_mean,bwd_iat_min,bwd_iat_std,bwd_iat_sum,bwd_len_max,bwd_len_mean,bwd_len_min,bwd_len_std,bwd_len_sum,bwd_pkts,byte_ratio,duration_s,fwd_iat_max,fwd_iat_mean,fwd_iat_min,fwd_iat_std,fwd_iat_sum,fwd_len_max,fwd_len_mean,fwd_len_min,fwd_len_std,fwd_len_sum,fwd_pkts,large_pkt_ratio,payload_entropy,pkt_ratio,small_pkt_ratio
15013.120174407959,1397.8738676417959,0.010967254638671875,4305.310733728866,30753.225088119507,679,37.43478260869565,0,139.7882952389874,861,15013.120174407959,3075.3140211105347,0.04696846008300781,5968.244298866426,30753.140211105347,679,63.45454545454545,0,194.67472340775086,698,11,0.2335243553008596,30.753225088119507,15013.155937194824,2795.7477352835917,0.031948089599609375,5758.772487044299,30753.225088119507,142,13.583333333333334,0,39.033016651149175,163,12,0.0,2.1190850469784714,1.0909090909090908,0.9130434782608695
15013.993978500366,1079.6536718096052,0.0,3864.532087474545,30230.302810668945,1422,248.20689655172413,0,535.857892851965,7198,15014.005899429321,2325.4028467031626,0.03790855407714844,5410.177042800731,30230.237007141113,1422,308.42857142857144,0,581.67046565237,4318,14,0.666975451597962,30.230302810668945,15013.993978500366,2159.3073436192103,0.028133392333984375,5247.657972477001,30230.302810668945,1422,192,0,482.5099653547755,2880,15,0.1724137931034483,1.905924427043544,1.0714285714285714,0.8275862068965517
15008.478879928589,1410.8010963960128,0.007867813110351562,4302.772132360957,31037.62412071228,712,38.869565217391305,0,146.37988230385085,894,15008.478879928589,3103.7538051605225,0.04315376281738281,5956.181112159956,31037.538051605225,712,66.45454545454545,0,204.16052669690345,731,11,0.22298221614227087,31.03762412071228,15008.550882339478,2821.6021927920256,0.025987625122070312,5748.6724186261745,31037.62412071228,142,13.583333333333334,0,39.033016651149175,163,12,0.0,2.1190850469784714,1.0909090909090908,0.9130434782608695
15013.803005218506,1079.1687880243574,0.0021457672119140625,3863.398316672472,30216.726064682007,1422,248.20689655172413,0,535.857892851965,7198,15013.817071914673,2324.358004790086,0.0021457672119140625,5408.679758605945,30216.654062271118,1422,308.42857142857144,0,581.67046565237,4318,14,0.666975451597962,30.216726064682007,15013.83090019226,2158.3375760487147,0.027894973754882812,5246.1971704128655,30216.726064682007,1422,192,0,482.5099653547755,2880,15,0.1724137931034483,1.905924427043544,1.0714285714285714,0.8275862068965517
15014.954805374146,1602.7714014053345,0.0171661376953125,4481.426647661987,32055.42802810669,536,34.095238095238095,0,116.36310361143762,716,15014.981031417847,3561.7049800025093,0.03719329833984375,6136.145568355545,32055.344820022583,536,55,0,160.35959590869516,550,10,0.3018181818181818,32.05542802810669,15014.97197151184,3205.542802810669,0.06413459777832031,5918.515415452303,32055.42802810669,145,15.090909090909092,0,41.39928533738573,166,11,0.0,2.00633093059618,1.1,0.9047619047619048
15010.54310798645,1170.0093471086943,0.00095367431640625,3994.92489050708,30420.24302482605,1422,213.92592592592592,0,503.9120974142603,5776,15010.626077651978,2535.0129206975303,0.016927719116210938,5578.412467580249,30420.15504837036,1422,222.76923076923077,0,511.50895230095796,2896,13,0.994475138121547,30.42024302482605,15010.54310798645,2340.0186208578257,0.0209808349609375,5401.945095531049,30420.242071151733,1422,205.71428571428572,0,496.61287431839247,2880,14,0.14814814814814814,1.9177260601587358,1.0769230769230769,0.8518518518518519
15006.747961044312,1442.4285888671875,0.010967254638671875,4294.980007520636,31733.428955078125,230,27.782608695652176,0,68.65538170218682,639,15006.7720413208,3173.3328104019165,0.04506111145019531,5923.7178367456845,31733.328104019165,230,42.63636363636363,0,87.19598898956171,469,11,0.3624733475479744,31.733428955078125,15006.78300857544,2884.857177734375,0.034809112548828125,5721.255031431088,31733.428955078125,149,14.166666666666666,0,40.95288620950774,170,12,0.0,2.1190850469784714,1.0909090909090908,0.8695652173913043
15010.587930679321,1114.9010743413653,0.00095367431640625,3857.9176890505314,31217.230081558228,1422,248.20689655172413,0,535.857892851965,7198,15010.591983795166,2401.3217779306265,0.015974044799804688,5382.1746690269165,31217.183113098145,1422,308.42857142857144,0,581.67046565237,4318,14,0.666975451597962,31.217230081558228,15010.588884353638,2229.8017059053695,0.02288818359375,5223.127759223957,31217.22388267517,1422,192,0,482.5099653547755,2880,15,0.1724137931034483,1.905924427043544,1.0714285714285714,0.8275862068965517
15003.999948501587,1396.506591276689,0.010967254638671875,4303.95013729939,30723.14500808716,679,37.43478260869565,0,139.7882952389874,861,15003.999948501587,3072.305107116699,0.05793571472167969,5966.933299747557,30723.051071166992,679,63.45454545454545,0,194.67472340775086,698,11,0.2335243553008596,30.723145008087158,15004.048109054565,2793.013182553378,0.03600120544433594,5757.4046141483495,30723.14500808716,142,13.583333333333334,0,39.033016651149175,163,12,0.0,2.1190850469784714,1.0909090909090908,0.9130434782608695
15006.520986557007,1078.9019209997994,0.00095367431640625,3862.5349021874813,30209.253787994385,1422,248.20689655172413,0,535.857892851965,7198,15006.540060043335,2323.781838783851,0.033855438232421875,5407.486719753803,30209.163904190063,1422,308.42857142857144,0,581.67046565237,4318,14,0.666975451597962,30.209253787994385,15006.520986557007,2157.8038419995987,0.031948089599609375,5245.025696616999,30209.253787994385,1422,192,0,482.5099653547755,2880,15,0.1724137931034483,1.905924427043544,1.0714285714285714,0.8275862068965517
15012.535095214844,1405.460000038147,0.010967254638671875,4304.179820174439,30920.120000839233,712,38.869565217391305,0,146.37988230385085,894,15012.535095214844,3092.002296447754,0.05412101745605469,5961.748398530224,30920.02296447754,712,66.45454545454545,0,204.16052669690345,731,11,0.22298221614227087,30.920120000839233,15012.602090835571,2810.920000076294,0.03409385681152344,5753.3949901588285,30920.120000839233,142,13.583333333333334,0,39.033016651149175,163,12,0.0,2.1190850469784714,1.0909090909090908,0.9130434782608695
15004.755020141602,1078.6519987242561,0.00095367431640625,3862.0040059411813,30202.255964279175,1422,248.20689655172413,0,535.857892851965,7198,15004.787921905518,2323.247084250817,0.0030994415283203125,5406.793108495045,30202.21209526062,1422,308.42857142857144,0,581.67046565237,4318,14,0.666975451597962,30.202255964279175,15004.755020141602,2157.3039974485123,0.02384185791015625,5244.346596360134,30202.255964279175,1422,192,0,482.5099653547755,2880,15,0.1724137931034483,1.905924427043544,1.0714285714285714,0.8275862068965517
15010.848999023438,904.8733446333143,0.0171661376953125,3427.3144707345336,16287.720203399658,536,37.63157894736842,0,121.79629694756119,715,15010.848999023438,2035.9539985656738,0.08893013000488281,4911.9025632270495,16287.63198852539,536,61,0,167.96560494471612,549,9,0.302367941712204,16.287720203399658,15010.909080505371,1809.7466892666287,0.050067901611328125,4674.995434193435,16287.720203399658,145,16.6,0,43.130499649320086,166,10,0.0,1.983740670882855,1.1111111111111112,0.8947368421052632
15013.529062271118,1169.864269403311,0.00095367431640625,3995.378619137488,30416.471004486084,1422,213.92592592592592,0,503.9120974142603,5776,15013.567924499512,2534.702161947886,0.029087066650390625,5579.18032450598,30416.425943374634,1422,222.76923076923077,0,511.50895230095796,2896,13,0.994475138121547,30.416471004486084,15013.529062271118,2339.72822702848,0.023126602172851562,5402.679710188919,30416.46695137024,1422,205.71428571428572,0,496.61287431839247,2880,14,0.14814814814814814,1.9177260601587358,1.0769230769230769,0.8518518518518519
14999.982118606567,803.9117574691772,0.010013580322265625,3259.621312023133,16078.235149383545,230,30.38095238095238,0,71.30783446603765,638,14999.982118606567,1786.4540153079563,0.10704994201660156,4675.056638140257,16078.086137771606,230,46.8,0,90.40331852316042,468,10,0.36324786324786323,16.078235149383545,15000.016212463379,1607.8235149383545,0.07700920104980469,4467.418243225438,16078.235149383545,149,15.454545454545455,0,42.54059801341353,170,11,0.0,2.101569025834275,1.1,0.8571428571428571
15012.058019638062,1222.432279586792,0.007867813110351562,4065.382206216446,30560.8069896698,1422,276.8076923076923,0,558.8991252887419,7197,15012.10618019104,2546.7257499694824,0.007867813110351562,5573.105347580699,30560.70899963379,1422,332.15384615384613,0,597.0647234795141,4318,13,0.6667438628994905,30.5608069896698,15012.058019638062,1296.6734965642293,0.04792213439941406,4136.663779320106,15560.081958770752,1422,221.46153846153845,0,511.9802603443306,2879,13,0.19230769230769232,1.9439975302408332,1.0,0.8076923076923077
15001.322984695435,786.9184017181396,0.012159347534179688,3263.1670663193518,15738.368034362793,680,41,0,146.01467636606162,861,15001.322984695435,1748.6967775556777,0.06318092346191406,4688.384914605828,15738.270998001099,680,69.8,0,203.42310586558253,698,10,0.2335243553008596,15.738368034362793,15001.372814178467,1573.8368034362793,0.05412101745605469,4478.636946789506,15738.368034362793,142,14.818181818181818,0,40.54362001557017,163,11,0.0,2.101569025834275,1.1,0.9047619047619048
15000.823974609375,633.2176228364309,0.00095367431640625,2995.9738134924173,15197.22294807434,1422,287.84,0,567.1846739819404,7196,15000.839948654175,1381.5577246926048,0.023126602172851562,4306.955554913108,15197.134971618652,1422,359.75,0,613.4275459796917,4317,12,0.6668983090108872,15.19722294807434,15000.82516670227,1266.435166200002,0.02193450927734375,4141.230975169492,15197.221994400024,1422,221.46153846153845,0,511.9802603443306,2879,13,0.2,1.887351814444994,1.0833333333333333,0.8
15014.164924621582,802.6875495910645,0.0171661376953125,3265.177759626183,16053.750991821289,712,42.523809523809526,0,152.68973179297728,893,15014.164924621582,1783.7387720743816,0.04291534423828125,4684.233966074451,16053.648948669434,712,73,0,213.02206458486876,730,10,0.2232876712328767,16.05375099182129,15014.23716545105,1605.375099182129,0.04315376281738281,4475.977670323493,16053.750991821289,142,14.818181818181818,0,40.54362001557017,163,11,0.0,2.101569025834275,1.1,0.9047619047619048
15000.168085098267,633.7170501550039,0.009059906005859375,2995.7466936920537,15209.209203720093,1422,287.84,0,567.1846739819404,7196,15000.205039978027,1382.6473626223478,0.02193450927734375,4306.428080749584,15209.120988845825,1422,359.75,0,613.4275459796917,4317,12,0.6668983090108872,15.209209203720093,15000.168085098267,1267.4341003100078,0.030994415283203125,4140.74916844876,15209.209203720093,1422,221.46153846153845,0,511.9802603443306,2879,13,0.2,1.887351814444994,1.0833333333333333,0.8
