all_iat_max,all_iat_mean,all_iat_min,all_iat_std,all_iat_sum,all_len_max,all_len_mean,all_len_min,all_len_std,all_len_sum,bwd_iat_max,bwd_iat_mean,bwd_iat_min,bwd_iat_std,bwd_iat_sum,bwd_len_max,bwd_len_mean,bwd_len_min,bwd_len_std,bwd_len_sum,bwd_pkts,byte_ratio,duration_s,fwd_iat_max,fwd_iat_mean,fwd_iat_min,fwd_iat_std,fwd_iat_sum,fwd_len_max,fwd_len_mean,fwd_len_min,fwd_len_std,fwd_len_sum,fwd_pkts,large_pkt_ratio,payload_entropy,pkt_ratio,small_pkt_ratio
5006.227016448975,420.9329088528951,0.025033950805664062,1382.5469368003232,5051.194906234741,18,2.5384615384615383,0,5.212638260337666,33,5006.282091140747,1010.2190017700195,0.06198883056640625,1998.0634464344107,5051.095008850098,10,2,0,3.6514837167011076,12,6,1.75,5.051194906234741,5006.253004074097,841.8658177057902,0.07581710815429688,1862.4036377428943,5051.194906234741,18,3,0,6.2105900340811875,21,7,0.0,1.505876255604107,1.1666666666666667,1.0
5012.405157089233,626.7580091953278,0.02288818359375,1657.6188701238298,5014.064073562622,16,1.7777777777777777,0,5.028314888437671,16,5012.405157089233,1671.3337103525798,0.1659393310546875,2362.4943327809915,5014.001131057739,0,0,0,0.0,0,4,16.0,5.014064073562622,5012.467861175537,1253.5060048103333,0.08606910705566406,2170.237702989449,5014.024019241333,16,3.2,0,6.4,16,5,0.0,0.5032583347756457,1.25,1.0
5008.874177932739,419.87383365631104,0.025987625122070312,1383.6461261734303,5038.486003875732,18,2.5384615384615383,0,5.212638260337666,33,5008.908033370972,1007.6740264892578,0.05698204040527344,2000.6276096730937,5038.370132446289,10,2,0,3.6514837167011076,12,6,1.75,5.038486003875732,5008.901119232178,839.7476673126221,0.08797645568847656,1864.5134891103069,5038.486003875732,18,3,0,6.2105900340811875,21,7,0.0,1.505876255604107,1.1666666666666667,1.0
5013.787031173706,626.7908811569214,0.031948089599609375,1658.1286887430795,5014.327049255371,16,1.7777777777777777,0,5.028314888437671,16,5013.787031173706,1671.4153289794922,0.17499923706054688,2363.4136962861453,5014.245986938477,0,0,0,0.0,0,4,16.0,5.014327049255371,5013.875961303711,1253.5727620124817,0.0820159912109375,2171.0120647903304,5014.291048049927,16,3.2,0,6.4,16,5,0.0,0.5032583347756457,1.25,1.0
5012.110948562622,429.4198354085286,0.027894973754882812,1382.1738301062016,5153.038024902344,18,2.5384615384615383,0,5.212638260337666,33,5012.142896652222,1030.5796146392822,0.20194053649902344,1991.3574443741998,5152.898073196411,10,2,0,3.6514837167011076,12,6,1.75,5.153038024902344,5012.138843536377,858.8396708170573,0.13399124145507812,1857.9708584964064,5153.038024902344,18,3,0,6.2105900340811875,21,7,0.0,1.505876255604107,1.1666666666666667,1.0
5012.592077255249,626.6624927520752,0.028848648071289062,1657.7255664238028,5013.299942016602,16,1.7777777777777777,0,5.028314888437671,16,5012.592077255249,1671.059290568034,0.14591217041015625,2362.8204960715666,5013.177871704102,0,0,0,0.0,0,4,16.0,5.013299942016602,5012.678861618042,1253.3177733421326,0.07510185241699219,2170.468138054408,5013.27109336853,16,3.2,0,6.4,16,5,0.0,0.5032583347756457,1.25,1.0
5000.334978103638,427.088995774587,0.026941299438476562,1379.2218170122137,5125.067949295044,18,2.5384615384615383,0,5.212638260337666,33,5000.378847122192,1024.9927997589111,0.06008148193359375,1988.1289161481309,5124.963998794556,10,2,0,3.6514837167011076,12,6,1.75,5.125067949295044,5000.363111495972,854.177991549174,0.08487701416015625,1854.6551925898846,5125.067949295044,18,3,0,6.2105900340811875,21,7,0.0,1.505876255604107,1.1666666666666667,1.0
5003.68595123291,625.5207657814026,0.01811981201171875,1654.7908975615487,5004.166126251221,16,1.7777777777777777,0,5.028314888437671,16,5003.68595123291,1668.035666147868,0.2009868621826172,2358.660936263327,5004.1069984436035,0,0,0,0.0,0,4,16.0,5.004166126251221,5003.757953643799,1251.031517982483,0.10013580322265625,2166.637617875313,5004.126071929932,16,3.2,0,6.4,16,5,0.0,0.5032583347756457,1.25,1.0
2508.7568759918213,314.86597657203674,0.026941299438476562,829.2190080711265,2518.927812576294,32,3.5555555555555554,0,10.056629776875342,32,2508.7990760803223,839.6056493123373,0.10585784912109375,1180.304780455381,2518.8169479370117,0,0,0,0.0,0,4,32.0,2.518927812576294,2508.7838172912598,629.7319531440735,0.12087821960449219,1084.878316276592,2518.927812576294,32,6.4,0,12.8,32,5,0.0,0.5032583347756457,1.25,1.0
2508.193016052246,315.41600823402405,0.03218650817871094,828.8056377766021,2523.3280658721924,5,0.5555555555555556,0,1.5713484026367723,5,2508.2459449768066,841.0733540852865,0.20503997802734375,1178.884038306495,2523.2200622558594,0,0,0,0.0,0,4,5.0,2.5233280658721924,2508.229970932007,630.8320164680481,0.10514259338378906,1083.9323825897127,2523.3280658721924,5,1,0,2.0,5,5,0.0,0.5032583347756457,1.25,1.0
