all_iat_max,all_iat_mean,all_iat_min,all_iat_std,all_iat_sum,all_len_max,all_len_mean,all_len_min,all_len_std,all_len_sum,bwd_iat_max,bwd_iat_mean,bwd_iat_min,bwd_iat_std,bwd_iat_sum,bwd_len_max,bwd_len_mean,bwd_len_min,bwd_len_std,bwd_len_sum,bwd_pkts,byte_ratio,duration_s,fwd_iat_max,fwd_iat_mean,fwd_iat_min,fwd_iat_std,fwd_iat_sum,fwd_len_max,fwd_len_mean,fwd_len_min,fwd_len_std,fwd_len_sum,fwd_pkts,large_pkt_ratio,payload_entropy,pkt_ratio,small_pkt_ratio
15000.560998916626,826.6402006149292,0.0171661376953125,3262.4781677999595,16532.804012298584,681,41.04761904761905,0,146.22307686756142,862,15000.560998916626,1836.9668854607476,0.047206878662109375,4668.71462326145,16532.70196914673,681,69.9,0,203.7230718401821,699,10,0.23319027181688126,16.532804012298584,15000.614881515503,1653.2804012298584,0.05888938903808594,4463.297538682287,16532.804012298584,142,14.818181818181818,0,40.54362001557017,163,11,0.0,2.101569025834275,1.1,0.9047619047619048
15009.97805595398,585.1833545244657,0.013113021850585938,2885.0747603375526,15214.767217636108,1496,148.96296296296296,0,325.2200943044095,4022,15010.012865066528,1267.8919235865276,0.04291534423828125,4143.558664623367,15214.70308303833,1496,210.23076923076923,0,421.4154087661747,2733,13,0.4716428832784486,15.214767217636108,15010.012149810791,1170.365388576801,0.0438690185546875,3995.311998475428,15214.750051498413,666,92.07142857142857,0,179.8699785502669,1289,14,0.037037037037037035,2.214022356455032,1.0769230769230769,0.7407407407407407
15013.257026672363,877.0346522331238,0.014066696166992188,3263.4004917128323,17540.693044662476,712,42.523809523809526,0,152.68973179297728,893,15013.257026672363,1948.9551120334202,0.07700920104980469,4645.11547370938,17540.59600830078,712,73,0,213.02206458486876,730,10,0.2232876712328767,17.540693044662476,15013.313055038452,1754.0693044662476,0.08606910705566406,4445.375379826076,17540.693044662476,142,14.818181818181818,0,40.54362001557017,163,11,0.0,2.101569025834275,1.1,0.9047619047619048
15000.917911529541,607.8563103309044,0.007152557373046875,2880.577052898041,15804.264068603516,1496,163.5185185185185,0,359.4267421748106,4415,15000.946998596191,1317.014257113139,0.029087066650390625,4128.4999526086185,15804.171085357666,1496,191.07692307692307,0,425.8095387771503,2484,13,0.7773752012882448,15.804264068603516,15000.931978225708,1215.712070465088,0.007867813110351562,3982.0231988337837,15804.256916046143,944,137.92857142857142,0,281.82377074175633,1931,14,0.037037037037037035,2.4362445786772544,1.0769230769230769,0.7407407407407407
15007.510900497437,946.0456636216906,0.025033950805664062,3420.041492062654,17028.82194519043,536,37.63157894736842,0,121.79629694756119,715,15007.510900497437,2128.5854876041412,0.0591278076171875,4878.569136280194,17028.68390083313,536,61,0,167.96560494471612,549,9,0.302367941712204,17.02882194519043,15007.60793685913,1892.091327243381,0.09489059448242188,4647.978804825826,17028.82194519043,145,16.6,0,43.130499649320086,166,10,0.0,1.983740670882855,1.1111111111111112,0.8947368421052632
15014.514207839966,668.8361267248789,0.0,2995.9971224979986,16052.067041397095,1496,131.92,0,325.56288731979265,3298,15014.561176300049,1459.2703689228404,0.03790855407714844,4293.09607654998,16051.974058151245,1496,183.66666666666666,0,426.3176306725095,2204,12,0.49637023593466423,16.052067041397095,15014.514207839966,1337.6722534497578,0.03790855407714844,4130.0516177319105,16052.067041397095,666,84.15384615384616,0,176.9453832092074,1094,13,0.04,2.3517374334224663,1.0833333333333333,0.76
15009.207963943481,886.6135014428032,0.025033950805664062,3427.851837785729,15959.043025970459,455,33.578947368421055,0,104.69017738545116,638,15009.207963943481,1994.861751794815,0.03695487976074219,4922.1035541055335,15958.89401435852,455,52,0,142.5147165890051,468,9,0.36324786324786323,15.959043025970459,15009.27209854126,1773.2270028856065,0.08916854858398438,4682.775880811414,15959.043025970459,149,17,0,44.321552319385205,170,10,0.0,1.983740670882855,1.1111111111111112,0.8947368421052632
15008.929967880249,642.3330903053284,0.0,2996.161754924649,15415.99416732788,1496,146.44,0,331.5408970247864,3661,15008.972883224487,1401.4490951191294,0.03409385681152344,4303.766665064087,15415.940046310425,1496,213.58333333333334,0,431.6701013376869,2563,12,0.42840421381193916,15.41599416732788,15008.929967880249,1284.666101137797,0.03314018249511719,4138.694469329968,15415.993213653564,666,84.46153846153847,0,177.13081449535252,1098,13,0.04,2.4317374334224664,1.0833333333333333,0.76
15014.429092407227,788.729202747345,0.018835067749023438,3265.7674616273234,15774.5840549469,681,41.04761904761905,0,146.22307686756142,862,15014.429092407227,1752.717547946506,0.025033950805664062,4691.582368063293,15774.457931518555,681,69.9,0,203.7230718401821,699,10,0.23319027181688126,15.7745840549469,15014.482975006104,1577.45840549469,0.06198883056640625,4481.791044691529,15774.5840549469,142,14.818181818181818,0,40.54362001557017,163,11,0.0,2.101569025834275,1.1,0.9047619047619048
15009.590864181519,585.7886901268593,0.0,2884.9042962445237,15230.50594329834,1496,224.59259259259258,0,425.2580270550574,6064,15009.628057479858,1269.2034840583801,0.031948089599609375,4143.085986242601,15230.441808700562,1496,348.6923076923077,0,546.3881945756127,4533,13,0.33774542245753364,15.23050594329834,15009.590864181519,1171.5773802537185,0.02288818359375,3994.87806449564,15230.50594329834,666,109.35714285714286,0,209.7037390302455,1531,14,0.07407407407407407,2.510318652751329,1.0769230769230769,0.7407407407407407
15000.166177749634,799.1244554519653,0.008821487426757812,3262.1768519011025,15982.489109039307,712,42.523809523809526,0,152.68973179297728,893,15000.166177749634,1775.8195665147568,0.06413459777832031,4681.241633531749,15982.376098632812,712,73,0,213.02206458486876,730,10,0.2232876712328767,15.982489109039307,15000.240087509155,1598.2489109039307,0.04100799560546875,4472.876019772891,15982.489109039307,142,14.818181818181818,0,40.54362001557017,163,11,0.0,2.101569025834275,1.1,0.9047619047619048
15015.281915664673,585.9915751677293,0.0030994415283203125,2886.003954475752,15235.780954360962,1496,190.85185185185185,0,397.4045148491604,5153,15015.305042266846,1269.6364124615986,0.024080276489257812,4144.6703123972175,15235.636949539185,1496,212.6153846153846,0,424.39867658416483,2764,13,0.8643270622286541,15.235780954360962,15015.281915664673,1171.9829119168794,0.030994415283203125,3996.4068881814433,15235.777854919434,1344,170.64285714285714,0,369.43578741157194,2389,14,0.07407407407407407,2.3342117082267557,1.0769230769230769,0.7407407407407407
15010.921955108643,809.305989742279,0.0209808349609375,3262.2611344436955,16186.119794845581,306,34.04761904761905,0,82.70859700261268,715,15010.921955108643,1798.4459929996067,0.05984306335449219,4676.61894388327,16186.01393699646,306,54.9,0,107.93558264075847,549,10,0.302367941712204,16.18611979484558,15010.978937149048,1618.611979484558,0.12278556823730469,4469.331008955473,16186.119794845581,145,15.090909090909092,0,41.39928533738573,166,11,0.0,2.101569025834275,1.1,0.8571428571428571
15000.924110412598,593.4743055930504,0.015020370483398438,2882.0452826130017,15430.331945419312,1496,208,0,399.4058550359985,5616,15000.977039337158,1285.8538230260212,0.05602836608886719,4136.009180860596,15430.245876312256,1496,283.2307692307692,0,484.6123198926292,3682,13,0.5252580119500272,15.430331945419312,15000.924110412598,1186.9486111861008,0.041961669921875,3988.477327766516,15430.331945419312,944,138.14285714285714,0,281.86137857942487,1934,14,0.037037037037037035,2.3342117082267557,1.0769230769230769,0.7407407407407407
15002.342939376831,886.588560210334,0.015974044799804688,3426.1827850861932,15958.59408378601,455,33.578947368421055,0,104.69017738545116,638,15002.342939376831,1994.8137402534485,0.051975250244140625,4919.49743985133,15958.509922027588,455,52,0,142.5147165890051,468,9,0.36324786324786323,15.95859408378601,15002.385139465332,1773.177120420668,0.06699562072753906,4680.33378744879,15958.59408378601,149,17,0,44.321552319385205,170,10,0.0,1.983740670882855,1.1111111111111112,0.8947368421052632
15011.857986450195,642.0512497425079,0.0040531158447265625,2996.8052124989736,15409.22999382019,1496,128.84,0,321.49571443488946,3221,15011.919021606445,1400.832002813166,0.0591278076171875,4304.858885493232,15409.152030944824,1496,176.91666666666666,0,420.5917375819718,2123,12,0.5171926519076778,15.40922999382019,15011.8989944458,1284.1013272603352,0.0040531158447265625,4139.726240702581,15409.215927124023,666,84.46153846153847,0,177.13081449535252,1098,13,0.04,2.3517374334224663,1.0833333333333333,0.76
15001.873016357422,788.3149981498718,0.011920928955078125,3262.9157280141076,15766.299962997437,681,41.04761904761905,0,146.22307686756142,862,15001.873016357422,1751.800775527954,0.05507469177246094,4687.358657423121,15766.206979751587,681,69.9,0,203.7230718401821,699,10,0.23319027181688126,15.766299962997437,15001.919984817505,1576.6299962997437,0.04100799560546875,4477.778594662424,15766.299962997437,142,14.818181818181818,0,40.54362001557017,163,11,0.0,2.101569025834275,1.1,0.9047619047619048
15003.238916397095,585.2533395473773,0.0,2883.7332327971267,15216.586828231812,1496,193.4814814814815,0,401.5553437591248,5224,15003.261089324951,1268.0422465006511,0.02288818359375,4141.506382292406,15216.506958007812,1496,317.9230769230769,0,522.7491620180108,4133,13,0.2639729010404065,15.216586828231812,15003.238916397095,1170.5066790947546,0.015020370483398438,3993.34370744989,15216.586828231812,666,77.92857142857143,0,171.74418862520682,1091,14,0.07407407407407407,2.510318652751329,1.0769230769230769,0.7407407407407407
15000.343084335327,854.003655910492,0.014066696166992188,3270.342974708315,17080.07311820984,712,42.523809523809526,0,152.68973179297728,893,15000.343084335327,1897.7736632029216,0.049114227294921875,4667.567786629268,17079.962968826294,712,73,0,213.02206458486876,730,10,0.2232876712328767,17.08007311820984,15000.448942184448,1708.007311820984,0.05316734313964844,4464.522611305221,17080.07311820984,142,14.818181818181818,0,40.54362001557017,163,11,0.0,2.101569025834275,1.1,0.9047619047619048
15002.861022949219,585.4920790745662,0.0,2883.617418142961,15222.79405593872,1496,159.37037037037038,0,381.3925894275257,4303,15002.886056900024,1268.5615022977192,0.025033950805664062,4141.24661206402,15222.738027572632,1496,247.07692307692307,0,505.47943145226174,3212,13,0.33966376089663763,15.22279405593872,15002.861022949219,1170.9841581491323,0.025033950805664062,3993.1064057029207,15222.79405593872,666,77.92857142857143,0,171.74418862520682,1091,14,0.07407407407407407,2.4362445786772544,1.0769230769230769,0.7407407407407407
15002.362966537476,970.9524975882637,0.02384185791015625,3420.2581842451946,17477.144956588745,536,37.63157894736842,0,121.79629694756119,715,15002.362966537476,2184.62598323822,0.05698204040527344,4865.12957713665,17477.00786590576,536,61,0,167.96560494471612,549,9,0.302367941712204,17.477144956588745,15002.418041229248,1941.9049951765273,0.06198883056640625,4637.999959930484,17477.144956588745,145,16.6,0,43.130499649320086,166,10,0.0,1.983740670882855,1.1111111111111112,0.8947368421052632
